NO,회사명,공고명,지역,상세보기 페이지
33,데이루덴스,"사당역/이수역/JAVA Spring, 파이썬 풀스택 경력 채용",서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53851739&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
34,망고클라우드(주),파이썬 개발자 모집,부산 동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53763913&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
35,(주)드랩,[드랩아트] 비주얼 생성형 AI 솔루션 파이썬 백엔드 개발자,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53526987&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
36,(주)애드크림,파이썬 - 기획 능력을 겸비한 바이브 코딩 개발자 환영,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53733610&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
37,(주)유스바이오글로벌,(주)유스바이오글로벌에서 파이썬 기반 의료영상 AI개발자 찾고 있어요,서울 구로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53781630&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
38,제이투케이,주식투자 경험있고 파이썬 하시는 분 구합니다 파트타임 가능,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53635756&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
39,포커스원,"파이썬, 자바스크립트 AI 에이전트 프로그램 개발자 채용중",서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53789121&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
40,미디어젠(주),[미디어젠(주)] 파이썬 백엔드/서버 개발자(경력),서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53733096&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
41,(주)씨텍,[부산/사상구] 파이썬 초/중급 개발자 신입직원 채용,부산 사상구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53619077&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
42,(주)베리타스자산대부,자산관리팀 신입사원채용 (SQL/파이썬/VBA/엑셀 가능자 우대),서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53697460&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
